review_text,label
This movie was amazing and emotionally powerful,positive
Absolutely loved the acting and screenplay,positive
Great visuals and engaging story,positive
Fantastic experience would watch again,positive
The film was okay nothing special,neutral
Average movie with a few good moments,neutral
It was fine but a bit too long,neutral
Decent watch not bad not great,neutral
I disliked the movie and found it boring,negative
Poor acting and weak plot,negative
Terrible pacing and confusing screenplay,negative
Waste of time very disappointing,negative
